Mon Aug 20 17:27:59 2018    profile.stats

         328200 function calls (322435 primitive calls) in 0.546 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 {built-in method _ctypes.LoadLibrary}
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
      479    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x000000005970C3F0}
      131    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       12    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        8    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        4    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
        4    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
       23    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       18    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
       22    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      118    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
     1486    0.068    0.000    0.068    0.000 {built-in method nt.stat}
      112    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       43    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
        6    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
        1    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
        2    0.000    0.000    0.000    0.000 {built-in method nt._isdir}
        1    0.000    0.000    0.000    0.000 {built-in method nt.urandom}
        1    0.000    0.000    0.000    0.000 {built-in method nt.cpu_count}
     1087    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        2    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      878    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
     1492    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method _thread._set_sentinel}
      335    0.014    0.000    0.014    0.000 {method 'read' of '_io.FileIO' objects}
    11426    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
      129    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       13    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       15    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       90    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1703    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
     2574    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       60    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       26    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      355    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      160    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
      139    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
    68758    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      173    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       19    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      670    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        2    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       43    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
      306    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
     1232    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       21    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        7    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       21    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       21    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
      464    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
      134    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      670    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
    11023    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
     7375    0.006    0.000    0.006    0.000 {method 'expandtabs' of 'str' objects}
       13    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      721    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
     1318    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
    16505    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     6356    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2796    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     7386    0.008    0.000    0.008    0.000 {method 'splitlines' of 'str' objects}
      358    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      100    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       56    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
     2704    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      744    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      710    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1342    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
     1399    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
  797/792    0.018    0.000    0.025    0.000 {built-in method builtins.__build_class__}
   405/18    0.001    0.000    0.475    0.026 {built-in method builtins.__import__}
       72    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      424    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      685    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      308    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       11    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       45    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
    576/1    0.040    0.000    0.547    0.547 {built-in method builtins.exec}
     4088    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      412    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
     7120    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
      341    0.000    0.000    0.000    0.000 {built-in method builtins.id}
     9453    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
  343/309    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       13    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
28263/28223    0.002    0.000    0.002    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       38    0.000    0.000    0.000    0.000 {built-in method builtins.max}
    12414    0.003    0.000    0.003    0.000 {built-in method builtins.min}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      170    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.003    0.003    0.004    0.004 {built-in method builtins.print}
      139    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.round}
     1032    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
     2443    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     2443    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       14    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       71    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      416    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
    68/50    0.076    0.001    0.115    0.002 {built-in method _imp.create_dynamic}
       68    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       14    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      335    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      335    0.040    0.000    0.040    0.000 {built-in method marshal.loads}
      340    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
      101    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x00000253702572F0}
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
    11426    0.001    0.000    0.001    0.000 {built-in method _struct.unpack}
        2    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        2    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.000    0.000 {built-in method time.time}
      335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      604    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
      436    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
      745    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      745    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      441    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      441    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:147(__enter__)
      441    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      436    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      745    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      304    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    612/4    0.000    0.000    0.516    0.129 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     3176    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1668    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      417    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
      670    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      430    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      738    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:403(cached)
     1015    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
     2811    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      417    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  417/363    0.001    0.000    0.128    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    417/4    0.002    0.000    0.516    0.129 <frozen importlib._bootstrap>:651(_load_unlocked)
      430    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:728(create_module)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(exec_module)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:753(is_package)
     2811    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      416    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:780(find_spec)
      670    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
     1262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
     1262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
     1485    0.001    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      430    0.003    0.000    0.093    0.000 <frozen importlib._bootstrap>:870(_find_spec)
    441/2    0.002    0.000    0.518    0.259 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    441/2    0.004    0.000    0.518    0.259 <frozen importlib._bootstrap>:966(_find_and_load)
 1998/256    0.002    0.000    0.469    0.002 <frozen importlib._bootstrap>:997(_handle_fromlist)
